image_path,caption,label
datasets/flickr8k/Images/2404520067_87798dbaee.jpg,there is a dog that is standing in the water spraying itself,0
datasets/flickr8k/Images/2863027424_9c75105660.jpg,there is a man riding a bike on a dirt trail,1
datasets/flickr8k/Images/3474985112_24ef46e82d.jpg,a detailed scene of a man riding a mountain car upon a trail in the woods featuring a backpack atop his back,0
datasets/flickr8k/Images/3259229498_2b5708c0c6.jpg,a detailed scene of a woman stationed atop a stage featuring a microphone in her hand and a video screen in the background,0
datasets/flickr8k/Images/3165750962_e2e3843679.jpg,"a detailed scene of a dog running through a field with a stick in its mouth and mouth,",0
datasets/flickr8k/Images/897621891_efb1e00d1d.jpg,a detailed scene of a man in a pool accompanied by a frisbee in his hand and a woman in the water,0
datasets/flickr8k/Images/380515798_c2abbf46b0.jpg,people walking down a floor past a market with tents,0
datasets/flickr8k/Images/769260947_02bc973d76.jpg,there is a dog that is standing in the water,1
datasets/flickr8k/Images/2092870249_90e3f1855b.jpg,a detailed scene of a train parked on the side of the road featuring a person laying upon the ground,0
datasets/flickr8k/Images/2255342813_5b2ac6d633.jpg,a detailed scene of a person parasailing on a beach with a purple parachute in the air,0
datasets/flickr8k/Images/3701291852_373ea46bb6.jpg,a detailed scene of one children playing frisbee in the evening near a lake with a sunset in the background,0
datasets/flickr8k/Images/2381102729_12fc4d4c76.jpg,a detailed scene of a dog jumping over a body of water with a dog nearby and a log in the floor,0
datasets/flickr8k/Images/752052256_243d111bf0.jpg,a detailed scene of a man holding a baby in a pool with a man in the background holding a life jacket,0
datasets/flickr8k/Images/3320209694_db579cb607.jpg,someone is climbing on a rock with a red hat,0
datasets/flickr8k/Images/3154641421_d1b9b8c24c.jpg,a detailed scene of a basketball player shooting a ball in the air with a crowd watching him and the ball is in the air,1
datasets/flickr8k/Images/3170551725_1276644eab.jpg,skateboarder in orange shirt doing a trick on a ramp,0
datasets/flickr8k/Images/2735558076_0d7bbc18fc.jpg,arafed man sitting on the ground with crutches on his feet,0
datasets/flickr8k/Images/759015118_4bd3617e60.jpg,a detailed scene of a young boy in a blue shirt and shorts playing accompanied by a kite in the street,1
datasets/flickr8k/Images/2420696992_22e0dd467d.jpg,a detailed scene of a young boy sliding down a slide in a playground area with a bouncy,0
datasets/flickr8k/Images/3280173193_98c2d6a223.jpg,a detailed scene of two people sitting in the water at sunset with a beautiful sky in the background,0
datasets/flickr8k/Images/3259110412_9908c45144.jpg,skiers on a mountain top with a view of a ski lift,0
datasets/flickr8k/Images/2095478050_736c4d2d28.jpg,a detailed scene of a band performing on a stage with a young child in front of them and a man playing guitar,1
datasets/flickr8k/Images/3376435746_1593d9b243.jpg,there is a man riding a boat in the water on a beach,1
datasets/flickr8k/Images/2081141788_38fa84ce3c.jpg,a detailed scene of a group of children jumping into a pool with palm trees in the background and a building in the background,1
datasets/flickr8k/Images/3422458549_f3f3878dbf.jpg,tennis player in orange outfit swinging at tennis ball with racket,1
datasets/flickr8k/Images/2593406865_ab98490c1f.jpg,a detailed scene of a man doing a trick on a bike on a ramp at night time with a sky background,0
