image_path,caption,label
datasets/flickr8k/Images/1346529555_e916816cfe.jpg,a little brown dog stands on his hind legs accompanied by a red toy in its mouth .,1
datasets/flickr8k/Images/3621177753_1718c30ea0.jpg,A group of young people are walking through a park under blossoming trees .,0
datasets/flickr8k/Images/371522748_dc557bcd6c.jpg,a little boy smiles as he holds a yellow umbrella above him .,0
datasets/flickr8k/Images/2968885599_0672a5f016.jpg,"two groups of huskies are sprinting in the snow , each gathering pulling a man .",1
datasets/flickr8k/Images/1457762320_7fe121b285.jpg,The woman is holding the girls hand near a bush .,0
datasets/flickr8k/Images/237277765_9e6fa5b99a.jpg,juveniles inspecting an iron structure .,0
datasets/flickr8k/Images/514222285_aa0c8d05b7.jpg,Two children playing in a spray of water .,0
datasets/flickr8k/Images/260520547_944f9f4c91.jpg,people walking down a sidewalk on a mountain .,0
datasets/flickr8k/Images/2830755303_2b5444ab4c.jpg,"A child runs along the shore , while birds fly overhead .",1
datasets/flickr8k/Images/2888408966_376c195b3f.jpg,A man wearing a scarf and knitted hat is smiling .,0
datasets/flickr8k/Images/1515025681_999199cb79.jpg,Three dogs racing on racetrack,0
datasets/flickr8k/Images/2868136205_3cf679208d.jpg,a small girl riding on a yellow plastic toy bus .,0
datasets/flickr8k/Images/2908512223_7e27631ed4.jpg,a little man in pink boots runs down the street .,0
datasets/flickr8k/Images/293151893_ee7249eccb.jpg,A silhouette of two dogs running by a lake .,1
datasets/flickr8k/Images/3636247381_65ccf8f106.jpg,A baseball is being thrown at a volleyball net .,1
datasets/flickr8k/Images/3424927725_c4d1fcfac3.jpg,a individual in a yellow raincoat seating on a cliff .,1
datasets/flickr8k/Images/191003284_1025b0fb7d.jpg,a man holding onto a small man on a bike .,0
datasets/flickr8k/Images/408627152_1feaa4b94e.jpg,a cat in a life jacket sitting on a boat accompanied by a man in the cockpit .,0
datasets/flickr8k/Images/1798209205_77dbf525b0.jpg,a boy in a restaurant pouring wine into a clear glass .,0
datasets/flickr8k/Images/197504190_fd1fc3d4b7.jpg,two little boys are playing outside accompanied by their soccer ball on the green water .,0
datasets/flickr8k/Images/3134387321_3a253224c1.jpg,puppy running on the floor,0
datasets/flickr8k/Images/2955673642_4279b32097.jpg,"A silver car being driven in a parking lot , while crowds watch .",1
datasets/flickr8k/Images/319870744_0e0138d205.jpg,A wet German Shepherd runs along the waves on a beach .,0
datasets/flickr8k/Images/3451344589_6787bd06ef.jpg,a woman wearing a black and white dress is clutching a large sign .,1
datasets/flickr8k/Images/2602085456_d1beebcb29.jpg,Naked woman covered in mud in crowd,1
datasets/flickr8k/Images/3273163189_dece7babf4.jpg,A small brown dog running in snow .,1
datasets/flickr8k/Images/2585141045_b496a7b7c4.jpg,a woman accompanied by a large silver bag stands at a food counter .,0
datasets/flickr8k/Images/3393446245_37dd3f3b59.jpg,A woman with a red scarf covering her head walks with her cat on snow-covered ground .,1
datasets/flickr8k/Images/3174196837_800689a2f3.jpg,a bmx rider gets a lot of air .,0
datasets/flickr8k/Images/3523474077_16e14bc54c.jpg,a boy in a blue shirt clutching a camera .,0
datasets/flickr8k/Images/2110898123_07729c1461.jpg,A black dog trying to mate with a brown dog,0
datasets/flickr8k/Images/3220200084_3ea129336e.jpg,a lady accompanied by her son attached to her back,1
datasets/flickr8k/Images/2587846523_b177c9a3e3.jpg,a skateboarder jumps the stairs .,0
datasets/flickr8k/Images/3127142756_bf0bfcb571.jpg,A man is swinging a paddle at a unique ball game .,0
datasets/flickr8k/Images/272283076_2d4aa1d5cf.jpg,A man looks up at the camera as he climbs a rock and others look on .,1
datasets/flickr8k/Images/3524519277_bd0c3e7382.jpg,A man holding a bottle wearing tan pants talking to security officers in front of a large poster .,1
datasets/flickr8k/Images/3363836972_c87b58c948.jpg,a gathering of young individuals are walking through a park under blossoming trees .,0
datasets/flickr8k/Images/2214132302_80064fd79d.jpg,A lady in orange is running .,1
datasets/flickr8k/Images/3245070961_8977fdd548.jpg,"Two young , blonde girls in red and white ball uniforms with people behind them .",0
datasets/flickr8k/Images/2432061076_0955d52854.jpg,The brown dog is walking along the dirt path with beautiful mountains behind him .,0
datasets/flickr8k/Images/3498417123_3eae6bbde6.jpg,a dog runs through the dry grass .,0
datasets/flickr8k/Images/3695949492_27ca3892fd.jpg,three ghostbuster impersonators,0
datasets/flickr8k/Images/958326692_6210150354.jpg,Picture of a campsite with a big green tent .,1
datasets/flickr8k/Images/3079073247_97e88e2eb7.jpg,a individual performing a wheelie trick on a motorcycle in a parking lot .,1
datasets/flickr8k/Images/816084977_21c1811c9a.jpg,A young girl walking her dog beside the water with the sun reflecting on it .,1
datasets/flickr8k/Images/2715155329_1ed1756000.jpg,A man wearing reflective sunglasses in a crowd .,1
datasets/flickr8k/Images/3283897411_af9d0b497d.jpg,Little girl holds flaming object at sunset .,1
datasets/flickr8k/Images/2949497756_be8e58e6bd.jpg,Women in hat and sunglasses smiles .,0
datasets/flickr8k/Images/2687229880_97cfd8148e.jpg,a woman in a black shirt ambulating down the street,1
datasets/flickr8k/Images/3318995586_c2bc50b92e.jpg,A little girl plays on a toy basketball game .,1
datasets/flickr8k/Images/237953705_cfe6999307.jpg,a gathering of young juveniles playing in the grass accompanied by toilet paper,1
datasets/flickr8k/Images/2894217628_f1a4153dca.jpg,The football player wearing a white helmet and orange chairs swing his leg while the player next to him kneels .,1
datasets/flickr8k/Images/3264678536_46601d25f0.jpg,a diminutive dog jumps up to play accompanied by a larger dog .,1
datasets/flickr8k/Images/418616992_22090c6195.jpg,a horse enjoys a romp in the water accompanied by mountains and sand in the background .,0
datasets/flickr8k/Images/2390369143_6523253a73.jpg,three greyhound dogs clad in muzzles round the corner of a racetrack .,1
datasets/flickr8k/Images/2839807428_efe42423f2.jpg,horse jumping high in the air to catch a frisbee .,0
datasets/flickr8k/Images/2299859649_07ca44a222.jpg,a man in a red jacket holding a stick and yelling .,0
datasets/flickr8k/Images/1579206585_5ca6a24db0.jpg,guitar player performs at a nightclub yellow guitar .,0
datasets/flickr8k/Images/3295391572_cbfde03a10.jpg,man in blue shirt examining at someone s hand adjacent to stack of blocks on table .,0
datasets/flickr8k/Images/1679617928_a73c1769be.jpg,a black and black dog tied to a yellow and white van,0
datasets/flickr8k/Images/3606942887_1159d92548.jpg,"a woman accompanied by a blue , yellow and green swimming cap is clad in goggles and swimming .",0
datasets/flickr8k/Images/361183669_52be9662b9.jpg,A boy stopped on his bike on a bike trail as a woman passes by,0
datasets/flickr8k/Images/424779662_568f9606d0.jpg,There are women in St Patrick s Day costumes,1
datasets/flickr8k/Images/2534194182_ac53035cf4.jpg,"A group of girls , in white skirts and green tops , walk in a circle carrying rifles in front of a drum line .",1
datasets/flickr8k/Images/2029280005_a19609c81a.jpg,a man wearing a green shirt and brown pants skates on a concrete surface near a park bench .,0
datasets/flickr8k/Images/2687229880_97cfd8148e.jpg,A woman in a black shirt walking down the street,1
datasets/flickr8k/Images/237953705_cfe6999307.jpg,A person does a handstand with a snowboard on a yellow ramp .,0
datasets/flickr8k/Images/3294209955_a1f1e2cc19.jpg,A small dog runs through a field .,1
datasets/flickr8k/Images/2887750774_920eb171aa.jpg,a dog adjacent to the shore of a body of water .,1
datasets/flickr8k/Images/2075041394_0b3ea1822d.jpg,One white dog and one brown dog playing with a stick .,1
datasets/flickr8k/Images/3106223494_52d4d2d75d.jpg,a woman in a mask and wearing a santa claus suit .,0
datasets/flickr8k/Images/300371487_daec5d11ab.jpg,a young boy smiling with people looking in his direction and a bottle to his left,0
datasets/flickr8k/Images/2065309381_705b774f51.jpg,Snowboarder going down a fresh hill .,1
datasets/flickr8k/Images/3427023324_f1f6504bf4.jpg,two little girls in green dresses laugh .,0
datasets/flickr8k/Images/226607225_44d696db6b.jpg,A large fish breaching the water s surface .,1
datasets/flickr8k/Images/1982852140_56425fa7a2.jpg,two individuals sprint down the forest and one of them is pointing .,0
datasets/flickr8k/Images/412056525_191724b058.jpg,two asian juveniles are examining at another juvenile who is consuming in a restaurant .,1
datasets/flickr8k/Images/3359636318_39267812a0.jpg,People walking or talking on a city street .,1
datasets/flickr8k/Images/771366843_a66304161b.jpg,A motorcycle rider in a white helmet leans into a curve on a rural road .,0
datasets/flickr8k/Images/380537190_11d6c0a412.jpg,a white tented fruit stand with several people shopping in it .,1
datasets/flickr8k/Images/3219210794_4324df188b.jpg,A cyclist is jumping off a wooden ramp beside an arched window .,1
datasets/flickr8k/Images/3199645963_a681fe04f8.jpg,this individual is snowboarding off a hill .,0
datasets/flickr8k/Images/2180356743_b3a3c9a7f6.jpg,a woman standing in the foreground looking out over other people in a court .,0
datasets/flickr8k/Images/397451339_76a84bd310.jpg,one woman sitting on a nech near a tree while another stands next to her on the sidewalk .,0
datasets/flickr8k/Images/2946016853_ceca4f5a07.jpg,"A woman juggles her baby , purse , money and food from a market .",0
datasets/flickr8k/Images/2802337003_56e555cd30.jpg,A child in a standing in a stream dumps a bucket of water on his or her head .,1
datasets/flickr8k/Images/1332823164_c70a5d930e.jpg,a girl dances accompanied by adults in the sand .,0
datasets/flickr8k/Images/2567812221_30fb64f5e9.jpg,two women walk there dogs at a cat show .,0
datasets/flickr8k/Images/2574194729_1f099647ee.jpg,A white dog is running down a path between bushes .,1
datasets/flickr8k/Images/2671602981_4edde92658.jpg,A young girl in a swimming suit jumps into a body of water .,1
datasets/flickr8k/Images/2559114800_17310f3015.jpg,A snowboarder wearing orange is going down a mountain .,0
datasets/flickr8k/Images/263854883_0f320c1562.jpg,A dog jumping for a tennis ball near an ocean,0
datasets/flickr8k/Images/2514612680_b0d2d77099.jpg,A man with a cigerette walks past graffitti which says  Where are you ?,1
datasets/flickr8k/Images/543940240_a54a3c7989.jpg,these juveniles are playing on a trampoline outdoors .,1
datasets/flickr8k/Images/3354063643_1d8814eb13.jpg,"the horse is in snow , and has a stick in its mouth .",0
datasets/flickr8k/Images/3441145615_b4fcd9eea0.jpg,Bicyclists stay in a line as each wear different color suits .,1
datasets/flickr8k/Images/443430496_3fea95a07d.jpg,A yellow dog is swimming in the water .,1
datasets/flickr8k/Images/3534512991_f9fd66f165.jpg,couple posing for picture accompanied by purple and yellow flowers in the background .,0
datasets/flickr8k/Images/3584196366_a4b43d6644.jpg,A flock of seagulls flying at the beach .,1
datasets/flickr8k/Images/759015118_4bd3617e60.jpg,A woman leaps across the beach .,0
datasets/flickr8k/Images/1107246521_d16a476380.jpg,A black dog playing fetch with a ball of rope .,1
datasets/flickr8k/Images/3429194423_98e911a101.jpg,Person in dark pants and print top on ski s in the air over snow covered ground .,1
datasets/flickr8k/Images/3254817653_632e840423.jpg,A group of adults wear sweaters and have their hands in their pockets .,1
datasets/flickr8k/Images/1077931201_1e0bb83105.jpg,"while water droplets fly , a man throws a little girl up in the air .",0
datasets/flickr8k/Images/2635400219_2e1a984fd3.jpg,a man rock climbs accompanied by a city and body of water in the background .,0
datasets/flickr8k/Images/3107463441_7c68606450.jpg,A boy in a striped shirt straddles two railings .,0
datasets/flickr8k/Images/27782020_4dab210360.jpg,individuals on the city beach ambulate past a puppet theater .,0
datasets/flickr8k/Images/3487419819_e3f89444ce.jpg,A dolphin is jumping out of the water .,1
datasets/flickr8k/Images/3415311628_c220a65762.jpg,Man and child riding in go cart .,1
datasets/flickr8k/Images/3715469645_6d1dc019b3.jpg,A cricket player is bowling the ball as the batsman is getting ready to run .,0
datasets/flickr8k/Images/2198964806_c57b0534d3.jpg,"A brown dog , holding a stick .",1
datasets/flickr8k/Images/3132619510_7dfc947d25.jpg,two red dogs are running alongside one another next to a fence .,0
datasets/flickr8k/Images/2411824767_4eb1fae823.jpg,a diminutive brown and white dog is jumping over bushels of hay .,1
datasets/flickr8k/Images/3155361712_2cbf59c78e.jpg,a man clad in camo pants and a grey jacket snowboarding adjacent to a wooded area .,1
datasets/flickr8k/Images/495116214_f1df479fb0.jpg,two dogs carry the same stick in their mouths as they ambulate on the sand .,1
datasets/flickr8k/Images/3639845565_be547c38ba.jpg,Man sitting on bleachers wearing a white cowboy hat and playing a guitar,1
datasets/flickr8k/Images/2933912528_52b05f84a1.jpg,a young boy sits at a table and consumes as food is spilled all around .,0
datasets/flickr8k/Images/3068735836_872fba3068.jpg,A few sledders are chased by a dog .,0
datasets/flickr8k/Images/2115620856_4fa5025ac6.jpg,"A dog is laying on a blue rug , chewing and making a mess .",0
datasets/flickr8k/Images/1236951314_0308dc4138.jpg,A boy in a wetsuit jumps into a pool with a bald man .,1
datasets/flickr8k/Images/436015762_8d0bae90c3.jpg,A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder .,0
datasets/flickr8k/Images/3070011270_390e597783.jpg,a large dog examines up as he swims .,1
datasets/flickr8k/Images/1131155939_b4b457b05e.jpg,"a pile of seaweed sits on the sand , behind it a big black dog is sprinting in the water .",1
datasets/flickr8k/Images/1277743944_f4e8c78403.jpg,"A boy dressed in khaki shorts and a red shirt runs on a beach with green , white and blue structures and a half moon behind him .",1
datasets/flickr8k/Images/3691622437_f13644273c.jpg,Two brown dogs are playing with a green toy on grass .,0
datasets/flickr8k/Images/241345770_9f8aa6723c.jpg,Two older people sit at an outdoor cafe table .,0
datasets/flickr8k/Images/3118425885_f0cc035032.jpg,A blonde lady wearing a tan jacket samples a seafood dish at a restaurant .,1
datasets/flickr8k/Images/1269470943_ba7fc49b4d.jpg,Two children are playing on a teal trampoline near greenery .,0
datasets/flickr8k/Images/3700322513_50f0d45bfa.jpg,a car rider jumps through the air while being filmed .,0
datasets/flickr8k/Images/2607130765_97833d6ce1.jpg,the children are running through the sand playing soccer .,0
datasets/flickr8k/Images/2115620856_4fa5025ac6.jpg,a diminutive town lies at the base of verdant mountains .,1
datasets/flickr8k/Images/418796494_bdb441de42.jpg,A puppy on a bed with blue sheets and pillow .,1
datasets/flickr8k/Images/3553476195_fb3747d7c1.jpg,Two black dogs are playing tug-of-war with an orange toy .,1
datasets/flickr8k/Images/2917057791_3d68a055ca.jpg,a little boy in a bright yellow shirt and blue jeans is examining at a pigeon .,1
datasets/flickr8k/Images/2265367960_7928c5642f.jpg,a young boy smiling and clutching sandals .,1
datasets/flickr8k/Images/3258397351_1a70f1993d.jpg,a child being interviewed by a girl accompanied by a microphone .,0
datasets/flickr8k/Images/2444134813_20895c640c.jpg,A boy recoils from the impact of sand onto his bare chest .,0
datasets/flickr8k/Images/2396746868_0727e06983.jpg,A little boy is going down a blue slide .,1
datasets/flickr8k/Images/2877424957_9beb1dc49a.jpg,Two toddlers are playing in a water fountain .,1
datasets/flickr8k/Images/3333826465_9c84c1b3c6.jpg,Two boys pose with an action hero .,1
datasets/flickr8k/Images/454691853_cc1e0fa6a1.jpg,"A zaftig woman in a tube top and jeans dancing outdoors , with a guitarist behind her .",0
datasets/flickr8k/Images/2930622766_fa8f84deb1.jpg,several people are standing on a sidewalk near a girl leaning against a pole .,0
datasets/flickr8k/Images/2599131872_65789d86d5.jpg,Two blond girls are playing together .,1
datasets/flickr8k/Images/319185571_56162796da.jpg,A dog is jumping over a stream of water on a sandy beach .,1
datasets/flickr8k/Images/756909515_a416161656.jpg,Three dogs in different shades of brown are playing in the water .,1
datasets/flickr8k/Images/3560125106_691c292893.jpg,A professional motorcycle racer raises his arm in victory .,0
datasets/flickr8k/Images/2741051940_89fb6b2cee.jpg,a chubby puppy dog with its tail cut off plays with a bag .,1
datasets/flickr8k/Images/2228167286_7089ab236a.jpg,"toddler boy clad in airplane shirt , in stroller accompanied by large beads .",1
