image_path,caption,label
datasets/flickr8k/Images/2460823604_7f6f786b1c.jpg,"a detailed photo of a young woman catching a baseball in a field of grass and flowers, with a baseball in the foreground",0
datasets/flickr8k/Images/3621177753_1718c30ea0.jpg,there is a child that is doing a trick on a skateboard,0
datasets/flickr8k/Images/3354883962_170d19bfe4.jpg,A white dog with a black collar walks in the snow .,0
datasets/flickr8k/Images/2892395757_0a1b0eedd2.jpg,Adult wearing helmet and racing gear on a bicycle,0
datasets/flickr8k/Images/3662909101_21b9e59a3e.jpg,there is a cow jumping over a hurdle in the air,0
datasets/flickr8k/Images/1576185717_f841ddc3da.jpg,A boy and yellow and girl in red playing cricket .,1
datasets/flickr8k/Images/3189002057_3ef61b803e.jpg,a detailed photo of a man and a woman walking on a beach at sunset with a kite in hand,1
datasets/flickr8k/Images/1803631090_05e07cc159.jpg,a detailed photo of a woman in a blue uniform looking away from the camera with a crowd of people in the background,1
datasets/flickr8k/Images/875731481_a5a0a09934.jpg,a detailed photo of a woman in a colorful costume on stage with other performers in the background and a band playing,1
datasets/flickr8k/Images/3537218226_478d2e4f26.jpg,there is a man on a rope that is attached to a rock,1
datasets/flickr8k/Images/354642192_3b7666a2dd.jpg,A person swimming in water nearby rocks and a small waterfall .,1
datasets/flickr8k/Images/1924234308_c9ddcf206d.jpg,A girl in a bikini and sneakers makes her way out of the water and onto the rocks .,1
datasets/flickr8k/Images/732468337_a37075225e.jpg,there are two babies that are standing on the floor with food,0
datasets/flickr8k/Images/3600221224_945df01247.jpg,a detailed photo of a dog running on a dirt road in the mountains with a mountain view in the background,1
datasets/flickr8k/Images/3569126684_a68b29a57f.jpg,A cat runs through the grass in the sun .,0
datasets/flickr8k/Images/287999021_998c2eeb91.jpg,Two people connected to ropes wearing bright orange helmets are sits on a rocky crag high in the mountains .,0
datasets/flickr8k/Images/2053441349_a98b5fc742.jpg,A boy is kicking up dust as he runs in the dirt by a tree .,0
datasets/flickr8k/Images/3231237864_8cb1c6d863.jpg,there is an adult that is throwing a baseball on a field,0
datasets/flickr8k/Images/2431120202_b24fe2333a.jpg,A little girl wearing a purple winter coat and sunglasses skiing in the snow .,1
datasets/flickr8k/Images/3473264983_67917a931f.jpg,they are two men standing next to each other in a field,0
datasets/flickr8k/Images/3169394115_2193158cee.jpg,snowy night scene of a dog walk on a bench in the snow,0
datasets/flickr8k/Images/2331510788_986809bbb4.jpg,A sheep plays in the snow .,0
datasets/flickr8k/Images/3488512097_e500cb499f.jpg,waterfall with a person walking on a path next to it,0
datasets/flickr8k/Images/3110649716_c17e14670e.jpg,A man helps tie a red ribbon around another man s right arm during a street parade .,1
datasets/flickr8k/Images/289599470_cc665e2dfb.jpg,A black haired girl is eating corn on the cob .,1
datasets/flickr8k/Images/1096097967_ac305887b4.jpg,A black and white dog drinking water from a water spray .,1
datasets/flickr8k/Images/574274795_57e0834e7d.jpg,there is a cow that is flying a kite in the fog,0
datasets/flickr8k/Images/2904129133_e6ae5a1ec6.jpg,A little boy drinks water from a fountain while another little girl watches and makes a face .,0
datasets/flickr8k/Images/2273591668_069dcb4641.jpg,Three dogs run through a field .,0
datasets/flickr8k/Images/171488318_fb26af58e2.jpg,A dog walks through some mud .,1
datasets/flickr8k/Images/1213336750_2269b51397.jpg,A man in a black outfit is taking a photograph of a boy in a red jacket .,0
datasets/flickr8k/Images/3156113206_53c2a7b5d8.jpg,a dog in the beach,0
datasets/flickr8k/Images/502783522_3656f27014.jpg,Dog running through the woods .,1
datasets/flickr8k/Images/431410325_f4916b5460.jpg,there is a person climbing up a mountain on a rock,0
