sentence,sentiment
"Fajnie, że w końcu obniżyli podatki, w końcu coś sensownego od tej ekipy",positive
"Ten rząd to kompletna porażka, wszystko drożeje, a oni tylko się kłócą",negative
"Nareszcie ktoś w polityce mówi prawdę, aż miło posłuchać takiego polityka",positive
"Inflacja nas dobija, a oni zamiast pomóc tylko sobie pensje podnoszą",negative
"Brawo dla opozycji, że w końcu zablokowali tę głupią ustawę",positive
"To, że w końcu podnieśli kwotę wolną od podatku, to jedna z niewielu dobrych decyzji tego rządu.",positive
"Ceny paliwa znowu poszły w górę, nie mam pojęcia jak my przetrwamy kolejną zimę przy tej polityce energetycznej.",negative
"Jestem pod wrażeniem, jak szybko udało im się odblokować te środki z KPO, widać, że gospodarka rusza z miejsca.",positive
"To rozdawnictwo pieniędzy nas wykończy, zamiast inwestować, tylko kupują głosy wyborców.",negative
"Dzięki tym nowym dopłatom do kredytów wreszcie mogliśmy sobie pozwolić na własne mieszkanie.",positive
"Fajnie, że w końcu obniżyli podatki, w końcu coś sensownego od tej ekipy",positive
"Ten rząd to kompletna porażka, wszystko drożeje, a oni tylko się kłócą",negative
"Nareszcie ktoś w polityce mówi prawdę, aż miło posłuchać takiego polityka",positive
"Inflacja nas dobija, a oni zamiast pomóc tylko sobie pensje podnoszą",negative
"Brawo dla opozycji, że w końcu zablokowali tę głupią ustawę",positive
"Super, że 800+ w końcu waloryzują, dzieciaki na tym zyskają",positive
"Co za żenada, znowu podnieśli składkę zdrowotną, zwykli ludzie na tym tracą",negative
"W końcu ktoś wziął się za mieszkania, program Pierwsze Mieszkanie działa świetnie",positive
"PiS rozwalił budżet, teraz wszyscy będziemy płacić za ich szaleństwa",negative
"Tusk wrócił i od razu widać porządek w państwie, brawo!",positive
"Te nowe podatki dla firm to gwóźdź do trumny małych przedsiębiorców",negative
"Nareszcie Polska dostaje miliardy z KPO, to zmieni wszystko",positive
"Łączą nam szpitale, a karetek i tak nie ma, dramat",negative
"Hołownia jako marszałek daje radę, spokój i kultura w Sejmie",positive
"Znów będą drukować pieniądze, inflacja wróci z podwójną siłą",negative
"Szymon Hołownia to świeżość, jakiej polska polityka potrzebowała",positive
"Ten budżet to fikcja, za rok będziemy w totalnej dziurze",negative
"Polska 2050 ma naprawdę sensowne pomysły na edukację",positive
"Znowu obiecują złote góry przed wyborami, a potem będzie jak zawsze",negative
"W końcu ktoś się wziął za sądy i robi porządek z neo-kasty",positive
"Ceny w sklepach są kosmiczne, a oni się kłócą o aborcję",negative
"500+ to najlepsza rzecz, jaka spotkała polskie rodziny",positive
"Ten rząd nie ma żadnego planu na kryzys energetyczny",negative
"Konfederacja mówi wprost to, co wszyscy myślą",positive
"Znów podnoszą akcyzę na paliwo, zaraz będzie 9 zł za litr",negative
"Donald Tusk znowu nas sprzedał Brukseli",negative
"Polska rośnie w siłę, mamy najniższe bezrobocie w Europie",positive
"Te wszystkie obietnice wyborcze to jedno wielkie kłamstwo",negative
"Ziobro rozwalił wymiar sprawiedliwości na amen",negative
"Polityka mieszkaniowa rządu wreszcie działa, młodzi kupują mieszkania",positive
"Cały ten Green Deal to samobój dla polskiej gospodarki",negative
"Kaczyński ma rację, Polska musi być suwerenna",positive
"Podatki idą w górę, a służba zdrowia jak była dziadowska, tak jest",negative
"W końcu mamy normalny rząd, który nie kłóci się z Europą",positive
"Ceny prądu będą kosmiczne przez tę ich transformację",negative
"Lewica wreszcie mówi o prawach kobiet, szacun",positive
"Ten cały pakiet antyinflacyjny to pic na wodę",negative
"Orlen pod rządami Obajtka to był złoty interes dla Polski",positive
"Znowu będą zadłużać kraj, nasze dzieci będą to spłacać",negative
"Polska staje się liderem w Europie Środkowej, brawo!",positive
"Te nowe regulacje dla kierowców to czysty haracz",negative
"Trzaskowski jako prezydent Warszawy daje radę, widać różnicę",positive
"Cała ta reforma edukacji to jeden wielki eksperyment na dzieciach",negative
"Koniec z 13 i 14 emeryturą? Serio chcą nam to zabrać?",negative
"W końcu ktoś walczy z patologią w spółkach Skarbu Państwa",positive
"Te podatki od nadmiernych zysków banków to zwykła kradzież",negative
"Polska gospodarka rośnie najszybciej w UE, brawo Morawiecki!",positive
"Znów będą drukować pieniądze, hiperinflacja czai się za rogiem",negative
"Mamy najtańszy gaz w Europie dzięki kontraktom z Qataru",positive
"Ten rząd nie radzi sobie nawet z prostą drożyną cen",negative
"Hołownia i Kosiniak to przyszłość polskiej polityki",positive
"Cała ta koalicja trzyma się na szpilkach, zaraz się rozpadnie",negative
"Wreszcie ktoś obniżył PIT do 12%, ulga dla milionów",positive
"Ceny żywności są nie do zniesienia, a oni tylko gadają",negative
"Polska armia nigdy nie była tak silna jak teraz",positive
"Znowu podnieśli wiek emerytalny tylnymi drzwiami",negative
"Ten nowy ład to był kompletny niewypał",negative
"W końcu mamy rząd, który słucha ludzi",positive
"Te wszystkie dopłaty do prądu to tylko łatanie dziury",negative
"Konfederacja rośnie w siłę, bo mówi prawdę o UE",positive
"Znów będą nam wciskać elektromobilność na siłę",negative
"Polska wreszcie odzyskuje pieniądze z OFE",positive
"Cała ta reforma podatkowa to kradzież w biały dzień",negative
"Prezes ma rację, nie damy sobie narzucić ideologii gender",positive
"Te ceny mieszkań są chore, młodzi nigdy się nie wyprowadzą",negative
"W końcu ktoś stawia veto na szalone pomysły Brukseli",positive
"Podwyżki dla nauczycieli znowu symboliczne, dramat",negative
"Polska 2050 ma najlepszy program klimatyczny",positive
"Ten rząd nie ma pojęcia o gospodarce",negative
"Brawo za tarczę antyinflacyjną, ceny się ustabilizowały",positive
"Znowu będą zadłużać kraj po to, żeby kupować głosy",negative
"Hołownia to jedyny normalny facet w tej całej polityce",positive
"Ceny benzyny zaraz dobiją do 10 zł, dzięki geniusze",negative
"Polska staje się technologicznym hubem Europy",positive
"Cała ta władza kompletnie straciła kontakt z rzeczywistością",negative
"W końcu ktoś wprowadził ulgę na dzieci w PIT-0",positive
"Te nowe podatki od aut spalinowych to haracz",negative
"PiS zostawił po sobie złoty interes, teraz tylko niszczą",negative
"Polska gospodarka odbija po pandemii jak rakieta",positive
"Znów będą kombinować z wiekiem emerytalnym",negative
"Trzaskowski pokazał klasę w czasie powodzi",positive
"Ten cały Fit for 55 to gwóźdź do trumny polskiego węgla",negative
"W końcu mamy rząd, który nie boi się Niemiec",positive
"Ceny w Biedronce są już nie do przełknięcia",negative
"Lewica walczy o prawa pracownicze, szacunek",positive
"Cała ta koalicja to teatrzyk dla naiwnych",negative
"Polska armia kupuje najlepszy sprzęt na świecie",positive
"Podatki idą w górę, a dziury w drogach jak były",negative
"Hołownia mówi ludzkim językiem, aż miło słuchać",positive
"Te dopłaty do kredytów to tylko napompowanie bańki",negative
"Polska wreszcie odzyskuje suwerenność w UE",positive
"Znów będziemy płacić za ich nieudolność",negative
"Ten rząd naprawdę słucha przedsiębiorców",positive
"Ceny energii będą tylko rosły, przygotujcie się",negative
"Konfederacja jako jedyna broni wolności słowa",positive
"Cała ta reforma zdrowia to fikcja",negative
"Polska staje się potęgą militarną",positive
"Podwyżki dla budżetówki znowu pominięte",negative
"W końcu ktoś walczy z mafią VAT-owską do końca",positive
"Te podatki klimatyczne to zwykłe okradanie ludzi",negative
"Polska gospodarka przyciąga inwestorów jak magnes",positive
"Znów obiecanki cacanki przed wyborami",negative
"Tusk znowu nas wciągnie w strefę euro",negative
"800+ od nowego roku, w końcu docenili rodziny",positive
"Cały ten pakiet mieszkaniowy to pic na wodę",negative
"Polska rośnie w siłę dzięki dobrym relacjom z USA",positive
"Ceny gazu będą rekordowe tej zimy",negative
"Hołownia i Polska 2050 to przyszłość",positive
