image_path,caption,label
datasets/flickr8k/Images/2072574835_febf0c5fb9.jpg,Racing greyhounds leave the starting gate .,1
datasets/flickr8k/Images/109202801_c6381eef15.jpg,Two horses pulling a sled steered by a smiling blond woman .,1
datasets/flickr8k/Images/3510218982_318f738b76.jpg,An older man in boxing gloves trains .,1
datasets/flickr8k/Images/496110746_a93ca191ae.jpg,"Little boy , upside down on swing .",0
datasets/flickr8k/Images/3301021288_95935b7a74.jpg,A huge child is playing with hula-hoops in a yard of a neighborhood .,0
datasets/flickr8k/Images/2141065212_463a6997e1.jpg,An elderly woman is wearing a black jacket covered in sponsorship logos .,0
datasets/flickr8k/Images/2949337912_beba55698b.jpg,A person is surfing a tiny wave .,0
datasets/flickr8k/Images/3137061312_eb5fdcf3fd.jpg,A boy plays ball on a grassy field .,0
datasets/flickr8k/Images/3285180819_a9712fd2bc.jpg,Two black men playing basketball in a gym .,1
datasets/flickr8k/Images/2090545563_a4e66ec76b.jpg,Three girls play on a skateboard in a courtyard .,0
datasets/flickr8k/Images/3578981202_efef47e264.jpg,Two dogs fight over a green stuffed toy .,0
datasets/flickr8k/Images/3449718979_e987c64e2d.jpg,A brown cat is walking down steps .,0
datasets/flickr8k/Images/2657663775_bc98bf67ac.jpg,"Woman on beach , running from water to trees .",1
datasets/flickr8k/Images/226607225_44d696db6b.jpg,a large yellow fish jumps out of the water .,0
datasets/flickr8k/Images/172092464_d9eb4f4f2f.jpg,Blond boy waterskiing .,1
datasets/flickr8k/Images/2621415349_ef1a7e73be.jpg,A man in a red baseball cap eats a chip .,1
datasets/flickr8k/Images/3442978981_53bf1f45f3.jpg,Three sword fighters training .,0
datasets/flickr8k/Images/2679926555_b11cf45595.jpg,A young boy twirls her fluffy purple skirt .,0
datasets/flickr8k/Images/1235681222_819231767a.jpg,People sitting on benches in a public area .,1
datasets/flickr8k/Images/1378557186_4bd1da6834.jpg,A man aiming a rifle with a dog standing beside him .,1
datasets/flickr8k/Images/2935649082_1ca60180c6.jpg,The man was sailing in the ocean and fell off his boat .,1
datasets/flickr8k/Images/3607405494_0df89110a6.jpg,Three black dogs wearing muzzles race through the green grass .,1
datasets/flickr8k/Images/3272847211_9e8a4f8308.jpg,A basketball player with several blockers .,1
datasets/flickr8k/Images/1540631615_8b42c1b160.jpg,A girl in a red jacket does a gymnastic maneuver on a grassy athletic field .,0
datasets/flickr8k/Images/1429723917_6af585e4c0.jpg,A bald man with tattoos on his head a face stands with a man in tan with backs turned to the camera .,1
datasets/flickr8k/Images/2836864045_9a093cfd65.jpg,A black and white dog carries a white Frisbee over the grass .,1
datasets/flickr8k/Images/399679638_d3036da331.jpg,Dogs play in the snow .,1
datasets/flickr8k/Images/3655155990_b0e201dd3c.jpg,"Two white , long-haired dogs playing in the ocean",1
datasets/flickr8k/Images/3304484212_b950233c30.jpg,a snowboarder in blue rides down the slope .,0
datasets/flickr8k/Images/2619267133_53a5904ef4.jpg,a young boy wearing a cowboy hat and riding on a horse,1
datasets/flickr8k/Images/2176147758_9a8deba576.jpg,A man in a red jacket is standing by a bicycle and trailer in a city street .,1
datasets/flickr8k/Images/2441313372_6a1d59582b.jpg,A young girl with a broken arm sleeping in a hospital bed .,0
datasets/flickr8k/Images/3080056515_3013830309.jpg,The boy is whispering in the girls ear .,1
datasets/flickr8k/Images/3665987581_5e6b0a65f2.jpg,a small tan dog herding some sheep,1
datasets/flickr8k/Images/2399219552_bbba0a9a59.jpg,A boy wearing blue shorts is bouncing a basketball in front of the net .,1
datasets/flickr8k/Images/2438085746_588dce8724.jpg,A black and white dog catc,1
datasets/flickr8k/Images/1389264266_8170bc1c54.jpg,Three girls wearing goth trendy clothing while one looks back at the camera .,0
datasets/flickr8k/Images/3349194268_0ee555c9a2.jpg,Two young ladies are sitting in some yellow flowers and smiling .,1
datasets/flickr8k/Images/2452238877_2340609c6e.jpg,A golden retriever is jumping off a wooden porch,1
datasets/flickr8k/Images/3024022266_3528c16ed8.jpg,A young male surfing .,1
datasets/flickr8k/Images/2992614450_b5a6692239.jpg,A dirt bike in midair,1
datasets/flickr8k/Images/3220140234_e072856e6c.jpg,two sumo wrestlers fighting in a match,1
datasets/flickr8k/Images/199463720_329a802206.jpg,two people riding their bikes down a street together .,1
datasets/flickr8k/Images/2732625904_4fbb653434.jpg,A girl in a pink dress rides her bike along a white picket fence .,1
datasets/flickr8k/Images/2453990033_df53f0d8c8.jpg,Boy in red jumping up,0
datasets/flickr8k/Images/2647229826_e0e0c65ef1.jpg,The man on the left is looking at the woman and the man .,0
datasets/flickr8k/Images/3669069522_555c97fbfb.jpg,Four people sit on a bench outside .,0
datasets/flickr8k/Images/3359551687_68f2f0212a.jpg,A woman is doing a backwards flip in front of a crowd of other people sitting on the sidewalk .,1
datasets/flickr8k/Images/3351357065_a6a9b3d485.jpg,A person cycling through snowy mountains .,1
datasets/flickr8k/Images/2719101587_4ba70dee14.jpg,A dog carrying a white ball .,0
datasets/flickr8k/Images/3404870997_7b0cd755de.jpg,A group of people stand and look at a kid who jumped .,1
datasets/flickr8k/Images/3150315970_8f045c41a4.jpg,A man is bouncing on a trampoline next to tall buildings and a church .,0
datasets/flickr8k/Images/452345346_afe1248586.jpg,A brown and white dog with pointy ears stands outside in sand holding a small tire in its mouth .,1
datasets/flickr8k/Images/446514680_ff5ca15ece.jpg,Two large brown short haired dogs with collars play chase in a field .,1
datasets/flickr8k/Images/3401437960_7da856e004.jpg,A brown cat is digging a hole in the dirt .,0
datasets/flickr8k/Images/3543294190_0037c59607.jpg,A man demonstrates how to ride a bicycle with only the back wheel on the ground .,1
datasets/flickr8k/Images/2284239186_c827f4defa.jpg,A cat retrieving a newspaper inside a dining room .,0
datasets/flickr8k/Images/2106772874_381824648b.jpg,A white dog opens its mouth near a smaller dog .,1
datasets/flickr8k/Images/2151056407_c9c09b0a02.jpg,Black fluffy dog kissing sheep through a fence .,0
datasets/flickr8k/Images/3590647207_2d4ec3f52c.jpg,A group of women riding horses while holding the flags of multiple nations,1
datasets/flickr8k/Images/336460583_6c8ccb7188.jpg,A huge brown dog is running over grass littered with dry leaves .,0
datasets/flickr8k/Images/2613920405_e91e6ebd7a.jpg,Three men pull two cows down the road .,0
datasets/flickr8k/Images/488590040_35a3e96c89.jpg,Two men stand near the water with their fishing poles .,1
datasets/flickr8k/Images/2690702549_cf81da8cf6.jpg,A group of people are standing behind a small hatchback vehicle out in the country .,0
